Time,Volume,Day Open,Day Close,Normalized Day Change,Normalized Volume to Moving Average,Normalized Open to Moving Average,Normalized Open (52wk High/Low),Normalized Yesterday Close to Today Open,Past First Derivative,Past Average Normalized Open to Close,Past Second Derivative,Buy
2019-11-06,5540568,1.05,1.02,-0.028571428571428595,0.29302268200799725,0.5800725468191051,0.817200557103064,0.0,-0.0018750000000000001,0.4959184216358749,0.0024999999999999996,1
2019-11-07,3328296,1.02,1.04,0.01960784313725492,0.17720651625813286,0.5627622441342927,0.7910863509749304,0.0,0.0003125000000000003,0.49455551480292315,0.0006249999999999993,0
2019-11-08,2894467,1.03,1.03,0.0,0.1552039995747707,0.5674887483858557,0.799791086350975,0.0,0.000625,0.4986286050387759,0.0012499999999999996,1
2019-11-11,15513522,1.02,1.08,0.058823529411764754,0.8263098040675212,0.5612763724858119,0.7910863509749304,0.009615384615384623,0.0006249999999999999,0.4983576419818791,-0.0012500000000000002,1
2019-11-12,12078034,1.06,1.14,0.0754716981132074,0.6414837285884905,0.5823172190850093,0.8259052924791087,0.009708737864077678,0.0025000000000000005,0.5002787296130303,0.00375,0
2019-11-13,9000461,1.15,1.09,-0.05217391304347812,0.478236965048896,0.6301152172862946,0.9042479108635096,0.018518518518518535,0.006328125,0.5032519970407245,0.004843750000000001,0
2019-11-14,8983052,1.1,1.1,0.0,0.47752437606890963,0.6015074097349673,0.860724233983287,-0.008771929824561412,0.00625,0.4960666587787499,-0.005000000000000001,0
2019-11-15,28509204,1.23,1.17,-0.04878048780487809,1.4861971544296328,0.670348076426432,0.9738857938718662,-0.009174311926605512,0.005000000000000001,0.49259196873689554,0.0012499999999999998,0
2019-11-18,10300212,1.15,1.06,-0.07826086956521727,0.5365731904112764,0.6252242390780536,0.9042479108635096,-0.11818181818181807,0.010625,0.48578819573550397,-0.00625,1
2019-11-19,6429961,1.06,1.07,0.009433962264150952,0.3360149212014922,0.5754573846972633,0.8259052924791087,0.01709401709401711,0.004375,0.47532629336107113,-0.0037500000000000003,1
2019-11-20,8187254,1.08,1.11,0.0277777777777778,0.4284302527311835,0.5853617590893978,0.8433147632311978,0.0,0.0021875000000000006,0.47722857451980505,-0.0006249999999999994,0
2019-11-21,8294283,1.14,1.08,-0.05263157894736828,0.43456681551742066,0.6165234096334372,0.8955431754874651,-0.009345794392523372,0.004062500000000001,0.4761443314801164,0.001875,1
2019-11-22,6240201,1.08,1.1,0.018518518518518535,0.3279973292283852,0.5831668527960868,0.8433147632311978,-0.027027027027026848,0.0037500000000000007,0.47021560914791366,-0.0075,1
2019-11-25,8827926,1.1,1.15,0.04545454545454529,0.46431987622891674,0.5929439140137758,0.860724233983287,0.0,-0.0006249999999999996,0.46639695805203485,-0.0037500000000000007,1
2019-11-26,7513931,1.15,1.17,0.017391304347826105,0.3959624909097594,0.6185475225025141,0.9042479108635096,0.0,0.0003125000000000007,0.4637000864231244,0.006875,0
2019-11-27,7636646,1.18,1.11,-0.059322033898304954,0.4031379469156395,0.6331470675052525,0.9303621169916434,0.0,0.0037500000000000007,0.46783445334818896,0.00125,0
2019-11-29,2741268,1.13,1.13,0.0,0.1456352984919286,0.6051698566807057,0.8868384401114205,-0.008547008547008555,-0.0034375000000000005,0.46232501205893123,-0.0006249999999999997,0
2019-12-02,6149814,1.15,1.1,-0.043478260869565064,0.32772616202504673,0.6146202487797361,0.9042479108635096,-0.018018018018017834,0.0015625000000000005,0.4676537792142631,0.005625000000000001,1
2019-12-03,3471663,1.11,1.13,0.018018018018017834,0.1860344385631713,0.5922732963731828,0.8694289693593316,-0.017699115044247805,0.00375,0.4697209626767955,-0.0037500000000000007,1
2019-12-04,5375306,1.12,1.14,0.017857142857142672,0.28910981055096774,0.5965963400630263,0.8781337047353761,-0.009090909090909097,0.0015625000000000003,0.4689566360255687,-0.0006250000000000011,0
2019-12-05,9997667,1.13,1.1,-0.02654867256637151,0.5373731154480795,0.6008671923615896,0.8868384401114205,0.008849557522123706,0.0012500000000000005,0.4673943880010565,0.004999999999999999,1
2019-12-06,11246041,1.1,1.13,0.027272727272727094,0.6033954503280723,0.5840671703930604,0.860724233983287,0.008771929824561412,0.0015625000000000003,0.46918846851041923,-0.003125,1
2019-12-09,5011483,1.1,1.14,0.03636363636363619,0.26994369072835117,0.5832361362973063,0.860724233983287,0.0,-0.0006249999999999999,0.4691986435205943,-0.0012500000000000002,1
2019-12-10,3234056,1.15,1.17,0.017391304347826105,0.17516164194484476,0.608624271300853,0.9042479108635096,0.02654867256637151,-0.0025,0.46866954299149377,0.0012500000000000002,0
2019-12-11,4107659,1.17,1.13,-0.03418803418803422,0.22351120027996713,0.6179812254134582,0.9216573816155988,-0.008771929824561412,0.0009375000000000002,0.4686695429914939,0.005624999999999999,1
2019-12-12,3762460,1.12,1.13,0.008928571428571237,0.2057318714181395,0.5906777315645869,0.8781337047353761,0.0,0.00125,0.47042407730003816,-0.0024999999999999996,0
